atom_ID,chem_shift,ambiguity,set_ID
C1,11.3632,1,
C2,16.0599,1,
C3,22.5945,1,
C4,13.6404,1,
C5,26.3332,1,
C6,133.0634,1,
C7,128.2496,1,
C8,35.3325,1,
C9,23.6488,1,
C10,129.1691,1,
C11,32.3763,1,
C12,31.9045,1,
C13,38.5269,1,
C14,30.1257,1,
C15,40.6977,1,
C16,26.8973,1,
C17,131.5452,1,
C18,61.2518,1,
C19,67.4076,1,
C20,36.0098,1,
C21,75.7846,1,
C22,170.1983,1,
C23,36.3644,1,
C24,175.5477,1,
O25,na,,
O26,na,,
O27,na,,
O28,na,,
O29,na,,
H30,0.8138,1,
H31,0.8138,1,
H32,0.8138,1,
H33,1.022,1,
H34,1.022,1,
H35,1.022,1,
H36,1.022,1,
H37,1.022,1,
H38,1.022,1,
H39,0.8375,1,
H40,0.8375,1,
H41,0.8375,1,
H42,"1.3975, 1.5464",4,1
H43,"1.3975, 1.5464",4,1
H44,5.7827,1,
H45,5.9538,1,
H46,"1.6239, 1.755",4,2
H47,"1.6239, 1.755",4,2
H48,"1.2753, 1.3408",4,3
H49,"1.2753, 1.3408",4,3
H50,5.5064,1,
H51,"1.2604, 1.6895",4,4
H52,"1.2604, 1.6895",4,4
H53,"1.8265, 1.9308",4,5
H54,"1.8265, 1.9308",4,5
H55,"2.3756, 2.62",4,6
H56,"2.3756, 2.62",4,6
H57,2.348,1,
H58,2.2901,1,
H59,2.3927,1,
H60,4.0986,1,
H61,5.2295,1,
H62,1.5974,1,
H63,4.46,1,
H64,2.299,1,
H65,na,,
